,0
0,Day
1,T
2,TM
3,Tm
4,SLP
5,H
6,PP
7,VV
8,V
9,VM
10,VG
11,RA
12,SN
13,TS
14,FG
15,1
16,9.1
17,15.3
18,4
19,1015.6
20,90
21,0
22,0.5
23,0
24,-
25,-
26, 
27, 
28, 
29,o
30,2
31,7.4
32,9.8
33,4.8
34,1017.6
35,93
36,0
37,0.5
38,4.3
39,9.4
40,-
41, 
42, 
43, 
44,o
45,3
46,7.8
47,12.7
48,4.4
49,1018.5
50,87
51,0
52,0.6
53,4.4
54,11.1
55,-
56, 
57, 
58, 
59,o
60,4
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71, 
72, 
73, 
74,o
75,5
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86, 
87, 
88, 
89,o
90,6
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101, 
102, 
103, 
104,o
105,7
106,6.7
107,13.4
108,2.4
109,1019.4
110,82
111,0
112,0.6
113,4.8
114,11.1
115,-
116, 
117, 
118, 
119,o
120,8
121,8.6
122,15.5
123,3.3
124,1018.7
125,72
126,0
127,0.8
128,8.1
129,20.6
130,-
131, 
132, 
133, 
134,o
135,9
136,12.4
137,20.9
138,4.4
139,1017.3
140,61
141,0
142,1.3
143,8.7
144,22.2
145,-
146, 
147, 
148, 
149, 
150,10
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161, 
162, 
163, 
164, 
165,11
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176, 
177, 
178, 
179, 
180,12
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191, 
192, 
193, 
194, 
195,13
196,16
197,25.2
198,10
199,1013.2
200,79
201,0
202,0.6
203,4.8
204,11.1
205,-
206, 
207, 
208, 
209,o
210,14
211,13.4
212,21
213,9.2
214,1015.1
215,87
216,0
217,0.5
218,1.5
219,7.6
220,-
221, 
222, 
223, 
224,o
225,15
226,14.3
227,22.6
228,6.6
229,1016.3
230,76
231,0
232,0.8
233,0.4
234,3.5
235,-
236, 
237, 
238, 
239,o
240,16
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251, 
252, 
253, 
254,o
255,17
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,o
267, 
268,o
269, 
270,18
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,o
282, 
283, 
284, 
285,19
286,12.7
287,18.9
288,7.3
289,1021.2
290,76
291,0
292,1.8
293,6.1
294,16.5
295,-
296, 
297, 
298, 
299,o
300,20
301,11.9
302,18.9
303,6.3
304,1020.1
305,76
306,0
307,1.1
308,8.3
309,20.6
310,-
311, 
312, 
313, 
314,o
315,21
316,12.2
317,19.9
318,6.2
319,1021
320,69
321,0
322,2.1
323,4.4
324,18.3
325,-
326, 
327, 
328, 
329,o
330,22
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341, 
342, 
343, 
344,o
345,23
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356, 
357, 
358, 
359,o
360,24
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371, 
372, 
373, 
374, 
375,25
376,13.4
377,21.1
378,5.6
379,1020
380,60
381,0
382,1.9
383,8
384,22.2
385,-
386, 
387, 
388, 
389, 
390,26
391,12.3
392,21.4
393,6.4
394,1019.6
395,70
396,0
397,1.9
398,6.7
399,14.8
400,-
401, 
402, 
403, 
404, 
405,27
406,13.7
407,22
408,7
409,1018.2
410,63
411,0
412,1.8
413,7.2
414,18.3
415,-
416, 
417, 
418, 
419, 
420,28
421,
422,
423,
424,
425,
426,
427,
428,
429,
430,
431, 
432, 
433, 
434, 
435,29
436,
437,
438,
439,
440,
441,
442,
443,
444,
445,
446, 
447, 
448, 
449, 
450,30
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,
461, 
462, 
463, 
464,o
465,31
466,14.9
467,21.9
468,7.1
469,1018.3
470,73
471,0
472,0.6
473,2
474,7.6
475,-
476, 
477, 
478, 
479,o
480,Monthly means and totals:
481, 
482,12.1
483,19.7
484,6.2
485,1017.8
486,75.1
487,21.59
488,1.1
489,4.6
490,16.1
491, 
492,2
493,0
494,1
495,19
